# Source: https://github.com/bahar/WorldCityLocations
New York City, United States	40.7142691 -74.0059738
Chicago, United States	41.8500330 -87.6500549
Amsterdam, Netherlands	52.3730840 4.8999023
Paris, France	48.8534100 2.3487999
Portland, United States	45.5234515 -122.6762085
Madrid, Colombi	4.7344444 -74.2683334
Kabul, Afghanistan	34.5166667 69.1833344
Kandahar, Afghanistan	31.6100000 65.6999969
Mazar-e Sharif, Afghanistan	36.7069444 67.1122208
Herat, Afghanistan	34.3400000 62.1899986
Jalalabad, Afghanistan	34.4200000 70.4499969
Konduz, Afghanistan	36.7200000 68.8600006
Ghazni, Afghanistan	33.5535554 68.4268875
Balkh, Afghanistan	36.7586111 66.8961105
Baghlan, Afghanistan	36.1200000 68.6999969
Gardez, Afghanistan	33.5900000 69.2200012
Khost, Afghanistan	33.3380556 69.9202805
Khanabad, Afghanistan	36.6800000 69.1100006
Tashqorghan, Afghanistan	36.6952778 67.6980591
Taloqan, Afghanistan	36.7360511 69.5345078
Cool urhajo, Afghanistan	34.2654452 67.3451614
Pol-e Khomri, Afghanistan	35.9425000 68.7191696
Sheberghan, Afghanistan	36.6672222 65.7536087
Charikar, Afghanistan	35.0136110 69.1713867
Sar-e Pol, Afghanistan	36.2155556 65.9363861
Paghman, Afghanistan	34.5875000 68.9533310
Samangan, Afghanistan	36.2652778 68.0166702
Nawab City, Afghanistan	31.5800000 64.3600006
Gereshk, Afghanistan	31.8188889 64.5647202
Farakh, Afghanistan	32.3700000 62.1100006
Feyzabad, Afghanistan	37.1175000 70.5797195
Sindand, Afghanistan	33.3000000 62.1399994
Andkhvoy, Afghanistan	36.9525000 65.1236115
Rostaq, Afghanistan	37.1275000 69.8305588
Qaravol, Afghanistan	37.2211111 68.7799988
Nahrin, Afghanistan	36.0652778 69.1338882
Baraki Barak, Afghanistan	33.9675000 68.9486084
At Khvajeh, Afghanistan	37.0841667 69.4805527
Eslam Qal`eh, Afghanistan	34.6666667 61.0666656
Karokh, Afghanistan	34.4791667 62.5869446
Mehtar Lam, Afghanistan	34.6713889 70.2094421
